#Wave		#Intensity
1435.414063	795782.187500
1433.636719	797236.687500
1431.861328	796493.875000
1430.083984	791459.750000
1428.306641	791664.500000
1426.529297	791864.812500
1424.751953	790223.375000
1422.972656	787877.062500
1421.195313	789101.687500
1419.416016	788528.187500
1417.636719	787543.812500
1415.855469	785894.750000
1414.076172	785404.812500
1412.294922	784099.125000
1410.513672	781710.062500
1408.732422	781657.437500
1406.951172	782327.500000
1405.167969	779454.125000
1403.386719	779458.750000
1401.603516	777397.687500
1399.820313	776466.875000
1398.037109	775392.562500
1396.251953	773972.687500
1394.468750	774577.375000
1392.683594	774484.437500
1390.898438	773435.375000
1389.111328	770174.750000
1387.326172	771671.125000
1385.539063	772155.812500
1383.751953	767996.125000
1381.964844	769119.437500
1380.177734	766681.312500
1378.390625	761349.062500
1376.601563	765665.625000
1374.812500	761174.937500
1373.023438	764021.562500
1371.234375	760847.375000
1369.443359	761368.250000
1367.654297	760647.437500
1365.863281	761287.187500
1364.072266	759193.812500
1362.281250	757828.625000
1360.488281	757147.187500
1358.695313	753334.000000
1356.904297	753360.687500
1355.111328	755672.250000
1353.316406	754748.000000
1351.523438	753649.875000
1349.728516	751439.500000
1347.933594	751750.687500
1346.138672	750452.812500
1344.343750	748245.750000
1342.548828	746664.750000
1340.751953	747130.562500
1338.955078	744914.125000
1337.158203	743986.312500
1335.361328	744640.125000
1333.562500	744300.312500
1331.765625	744279.812500
1329.966797	741382.625000
1328.167969	744371.437500
1326.367188	739247.750000
1324.568359	737950.875000
1322.767578	736949.437500
1320.966797	736206.437500
1319.166016	737632.937500
1317.365234	736858.937500
1315.562500	736035.937500
1313.761719	734594.500000
1311.958984	734595.125000
1310.156250	730303.000000
1308.351563	730807.250000
1306.548828	731623.812500
1304.744141	730270.437500
1302.939453	728484.000000
1301.134766	724960.312500
1299.330078	725182.062500
1297.523438	725993.000000
1295.718750	720977.062500
1293.912109	724181.500000
1292.105469	722498.187500
1290.296875	722867.375000
1288.490234	721155.437500
1286.681641	717096.750000
1284.873047	718576.312500
1283.064453	718544.187500
1281.253906	715221.375000
1279.445313	717020.125000
1277.634766	714999.812500
1275.824219	715839.500000
1274.013672	711250.562500
1272.203125	711856.312500
1270.390625	712039.812500
1268.578125	711300.812500
1266.765625	709478.750000
1264.953125	709078.187500
1263.140625	706380.437500
1261.326172	706187.812500
1259.511719	708448.312500
1257.697266	704810.187500
1255.882813	704932.750000
1254.068359	703871.500000
1252.251953	701046.562500
1250.435547	700217.250000
1248.619141	701488.437500
1246.802734	698351.187500
1244.984375	699841.500000
1243.167969	699761.937500
1241.349609	696334.937500
1239.531250	695223.812500
1237.710938	694826.687500
1235.892578	694456.187500
1234.072266	693570.750000
1232.251953	690346.812500
1230.431641	690288.500000
1228.611328	687418.062500
1226.789063	688662.812500
1224.968750	687036.125000
1223.146484	685603.937500
1221.322266	686482.937500
1219.500000	681386.875000
1217.677734	682011.375000
1215.853516	682090.937500
1214.029297	679605.687500
1212.205078	678748.750000
1210.378906	677492.750000
1208.554688	679128.687500
1206.728516	676904.750000
1204.902344	677864.000000
1203.076172	674022.625000
1201.248047	672058.312500
1199.419922	674371.625000
1197.593750	670883.562500
1195.765625	671760.812500
1193.935547	671418.125000
1192.107422	669817.312500
1190.277344	669416.687500
1188.447266	668612.312500
1186.617188	668187.062500
1184.787109	664762.250000
1182.955078	664584.875000
1181.125000	662149.687500
1179.292969	662886.562500
1177.458984	661613.000000
1175.626953	658586.812500
1173.794922	660299.187500
1171.960938	658662.562500
1170.126953	658260.625000
1168.292969	656435.375000
1166.457031	655384.687500
1164.623047	654261.062500
1162.787109	656161.375000
1160.951172	652823.125000
1159.113281	653448.937500
1157.277344	652188.187500
1155.439453	650271.312500
1153.601563	652591.687500
1151.763672	649785.500000
1149.925781	647904.812500
1148.085938	648382.750000
1146.248047	647413.125000
1144.408203	647352.375000
1142.568359	643307.875000
1140.726563	644826.687500
1138.886719	641965.562500
1137.044922	640863.000000
1135.203125	641295.812500
1133.361328	640466.750000
1131.517578	640048.812500
1129.675781	639341.625000
1127.832031	637718.375000
1125.988281	636211.500000
1124.144531	635352.562500
1122.298828	634013.437500
1120.453125	633704.500000
1118.609375	632670.375000
1116.761719	630567.500000
1114.916016	629454.625000
1113.070313	629260.937500
1111.222656	630076.625000
1109.375000	628572.625000
1107.527344	627447.250000
1105.677734	625988.375000
1103.830078	624564.437500
1101.980469	626830.437500
1100.130859	624459.312500
1098.281250	623193.000000
1096.429688	621471.562500
1094.580078	623789.500000
1092.728516	620197.125000
1090.876953	619565.062500
1089.023438	618829.062500
1087.171875	616609.750000
1085.318359	615536.000000
1083.464844	616299.125000
1081.611328	615572.437500
1079.757813	614224.187500
1077.902344	613781.687500
1076.046875	612491.812500
1074.191406	610805.437500
1072.335938	610176.375000
1070.478516	609278.000000
1068.623047	607496.250000
1066.765625	604809.812500
1064.908203	607546.187500
1063.050781	606117.187500
1061.191406	605031.812500
1059.332031	603332.000000
1057.472656	602113.750000
1055.613281	601727.812500
1053.753906	600724.812500
1051.892578	600535.812500
1050.031250	599799.562500
1048.169922	598259.875000
1046.308594	598771.250000
1044.447266	597702.937500
1042.583984	596245.062500
1040.720703	594637.750000
1038.857422	594940.812500
1036.994141	594870.250000
1035.128906	593603.437500
1033.263672	589463.125000
1031.398438	593825.000000
1029.533203	590186.062500
1027.667969	590836.500000
1025.800781	588590.562500
1023.933594	588411.000000
1022.066406	585221.187500
1020.199219	587317.562500
1018.332031	586646.000000
1016.462891	585556.062500
1014.593750	582650.937500
